customer_unique_id,num_orders,total_revenue,avg_order_value,avg_review,avg_delivery_days,late_rate,repeat_purchase,repeat_purchase_prob,marketing_segment
00053a61a98854899e70ed204dd4bafe,1,419.18,209.59,1.0,16.0,0.0,0,0.8360433553254613,High Potential
000fbf0473c10fc1ab6f8d2d286ce20c,1,362.36,90.59,5.0,8.0,0.0,0,0.9998984758558175,High Potential
001147e649a7b1afd577e873841632dd,1,212.16,106.08,4.0,8.0,0.0,0,0.7541111819527894,High Potential
00293787e2aec37a9c253b63fdfe2049,1,257.88,128.94,3.0,12.0,0.0,0,0.7633978422555321,High Potential
002ae492472e45ad6ebeb7a625409392,1,218.66,109.33,3.0,11.0,0.0,0,0.7152981887883963,High Potential
0035029989e6fc5cf030918a5f9f2037,1,546.12,273.06,5.0,5.0,0.0,0,0.9663434793879186,High Potential
004177f7bf62929186b32c7fdaa6157b,1,433.98,216.99,1.0,18.0,0.0,0,0.8517701708606004,High Potential
004288347e5e88a27ded2bb23747066c,2,354.37,177.185,5.0,6.5,0.0,1,0.9031829300203235,High Potential
004f84d065096f3cedd26cf0adc80b9d,1,189.07999999999998,94.53999999999999,4.0,14.0,0.0,0,0.7456026907221269,High Potential
005754cb59f8ee5cdbb5cda9d138757e,1,258.38,129.19,5.0,11.0,0.0,0,0.84919123604525,High Potential
0064a1b5f5cddd047c987b988a90c8c1,1,269.2,67.3,5.0,12.0,0.0,0,0.9990208643315619,High Potential
006ab6f5e82340e927757563a9fbe7e4,1,300.59999999999997,150.29999999999998,1.0,52.0,1.0,0,0.8355056480910121,High Potential
0085139b503668b3addcfe826d91be8d,1,504.48,168.16,2.0,16.0,0.0,0,0.9998522701140291,High Potential
0096c18412349537abc45e350581cbbc,1,770.24,192.56,1.0,7.0,0.0,0,0.9999999879996256,High Potential
0097fca0db567f5ca79509b7b4fc1c2d,1,227.65999999999997,32.52285714285714,1.0,2.0,0.0,0,0.9984244057743407,High Potential
00adeda9b742746c0c66e10d00ea1b74,1,2148.4,1074.2,1.0,7.0,0.0,0,0.9999927702229888,High Potential
00ae50eb5e1d2514f694dee1dcbbd5ae,1,276.13,55.226,1.0,6.0,0.0,0,0.9990130805399728,High Potential
00af5c2c9fd47849143be82aea5ab2cf,1,148.76,74.38,5.0,31.0,0.0,0,0.7992262145426137,High Potential
00c3624c55261d9ce593f30e3815a880,1,414.06,207.03,3.0,20.0,0.0,0,0.9028768798783949,High Potential
00cc12a6d8b578b8ebd21ea4e2ae8b27,2,252.4,63.1,4.0,5.5,0.0,1,0.9978122847396844,High Potential
00da34ebf22b87f6c2f53dc069f237df,1,246.99000000000004,82.33000000000001,3.0,5.0,0.0,0,0.9841620661175963,High Potential
00ec23a308504080697e5204d3dbcb2c,1,124.88,62.44,5.0,16.0,0.0,0,0.7323772739284139,High Potential
00eca7e1c994897d0a31bf75478f4b55,1,373.22,186.61,5.0,8.0,0.0,0,0.9144390702841054,High Potential
00fb8f6787f67bd33c7e86c9691d2b1c,1,274.39,91.46333333333332,1.0,21.0,0.0,0,0.9868577097024234,High Potential
00fd4a627a3b93cff0729f0b3554640d,1,226.31,75.43666666666667,3.0,6.0,0.0,0,0.9772218676698871,High Potential
011575986092c30523ecb71ff10cb473,2,214.9,107.45,3.5,13.0,0.0,1,0.7449782739881925,High Potential
011b4adcd54683b480c4d841250a987f,2,236.29999999999998,78.76666666666667,4.333333333333333,12.333333333333334,0.0,1,0.9881416869626349,High Potential
012452d40dafae4df401bced74cdb490,2,495.33,247.665,4.5,9.0,0.0,1,0.9513341603694586,High Potential
012755131a5b785b0ae3291c339a9051,1,378.20000000000005,189.10000000000002,4.0,4.0,0.0,0,0.8861883748213302,High Potential
012a218df8995d3ec3bb221828360c86,2,1510.38,755.19,3.5,5.0,0.0,1,0.9998334853736861,High Potential
012b41c1dae00a092474ca48dc764a00,1,442.52,221.26,4.0,7.0,0.0,0,0.922986549107586,High Potential
0130baad44d0ccc44bc7526c1ac18c64,1,323.70000000000005,161.85000000000002,5.0,11.0,0.0,0,0.8927490884480692,High Potential
0134417784b9f85470e635c063152a71,1,184.22,92.11,4.0,3.0,0.0,0,0.7060316306786494,High Potential
013689381e404bf6304f57bab4b8f01d,1,392.87999999999994,130.95999999999998,5.0,4.0,0.0,0,0.9993926750739378,High Potential
013ef03e0f3f408dd9bf555e4edcdc0a,2,245.37,122.685,5.0,3.0,0.0,1,0.8215327735419194,High Potential
013f4353d26bb05dc6652f1269458d8d,2,356.39,118.79666666666667,5.0,9.0,0.0,1,0.9988898543735142,High Potential
0152897024d0ddad70baafe17ed705f4,1,96.87,32.29,3.0,4.0,0.0,0,0.7879162145555082,High Potential
015557c9912277312b9073947804a7ba,2,315.12,157.56,5.0,12.5,0.0,1,0.890023270276979,High Potential
015b72d1a4ec2bfcf75518ada117c62b,1,261.8,130.9,5.0,13.0,0.0,0,0.8556536888918954,High Potential
01626676a41ff29901f7b42bc8e09dd8,1,89.88,29.959999999999997,2.0,25.0,1.0,0,0.7975552407203375,High Potential
016846e2dd862cba9a2a10eff5ac244f,1,474.96000000000004,237.48000000000002,3.0,5.0,0.0,0,0.91389645943581,High Potential
01689985c22786e41347d5167048b25e,1,337.38,112.46,5.0,10.0,0.0,0,0.9984420864505992,High Potential
016c60628fc64e15fa5990e58a0b57c1,1,304.55,101.51666666666667,3.0,5.0,0.0,0,0.9945330808301898,High Potential
01726e5d6a88d1a8dffd9578872ce54e,1,834.9399999999999,417.46999999999997,4.0,42.0,1.0,0,0.9960180293595422,High Potential
0178b244a5c281fb2ade54038dd4b161,2,259.89,64.9725,3.25,7.75,0.0,1,0.9978308325664162,High Potential
017c7f75ca30943882f48d5fda81e2df,1,175.28,87.64,4.0,16.0,0.0,0,0.7356796384620046,High Potential
019ac5580a897d52e5ed6f7ed89ade27,1,1337.19,445.73,5.0,12.0,0.0,0,0.9999999999880711,High Potential
019ed386aec9ff0f9eab4a590231174e,1,921.2400000000001,153.54000000000002,5.0,3.0,0.0,0,0.9999999999997271,High Potential
019fcfdd0b0ec239cc2b536428064c47,1,344.28000000000003,172.14000000000001,2.0,21.0,0.0,0,0.8238778366852115,High Potential
01a22e2079ea71e17313b88e5811e54a,2,165.34,55.11333333333334,5.0,3.0,0.0,1,0.9586743150152142,High Potential
01b53609a2d3710857e22775bbf8ec0f,1,116.25999999999999,58.129999999999995,5.0,18.0,0.0,0,0.728307207473583,High Potential
01bbbfc56b8ec1052e46f260226e34f9,1,314.03999999999996,104.67999999999999,5.0,42.0,0.0,0,0.9985312938853966,High Potential
01c19b1261325781dcf2f82c9892f80e,1,126.80999999999999,42.269999999999996,5.0,6.0,0.0,0,0.9221121838919113,High Potential
01c289bb06354cdc7e6549570f20ada4,2,242.5,80.83333333333333,4.0,14.666666666666666,0.0,1,0.9887900135737704,High Potential
01e123d7c7cedf12af483fc17258b9ce,1,947.72,236.93,5.0,10.0,0.0,0,0.9999999999565985,High Potential
01f2285f85a1c603eb7ef755ad311769,2,463.03999999999996,231.51999999999998,4.5,8.5,0.0,1,0.9411406691021464,High Potential
020299859eabbac628a0b2d6ea22bb9d,1,127.66,63.83,5.0,7.0,0.0,0,0.7077000834801066,High Potential
0209a0a5c96cc50dd1bbe71e3730af2a,1,245.94,40.99,5.0,6.0,0.0,0,0.9995955654513675,High Potential
0209f290b5451d357308bc0e90521026,1,631.91,105.31833333333333,5.0,10.0,0.0,0,0.9999999978775442,High Potential
0213fe7fbaa0a7e81c16350785e367e6,1,213.73999999999998,106.86999999999999,5.0,18.0,0.0,0,0.8276913617002104,High Potential
02168ea18740a0fdaaa15f11bebba5db,2,264.03999999999996,66.00999999999999,3.0,21.5,0.5,1,0.9984234776459905,High Potential
